name,link,image,description,reference,price_tunisianet,availability_tunisianet,price_mytek,availability_mytek,link_mytek
Pc Portable Dell Latitude 7420 / i5 11è Gén / 8 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/51715-pc-portable-dell-latitude-7420-i5-11e-gen-8-go.html,https://www.tunisianet.com.tn/217294-home/pc-portable-dell-latitude-7420-i5-11e-gen-8-go.jpg,"Ecran 14"" LED Full HD - Processeur Intel Core i5- 1145G7 , up to 4.4 GHz, 8 Mo de mémoire cache - Mémoire 8 Go - Disque 256 Go SSD  - Carte graphique Intel Iris Xe - 2x USB type-C Thunderbolt - 1x USB 3.2 Gen 1 - 1x HDMI - Lecteur de cartes SD - Wifi - Bluetooth 5.1 - Lecteur d'empreintes digitales - Garantie 1 an",7420I5,"3 299,000 DT",Sur commande,,,
Pc portable MSI Gaming GF63 Thin 11SC / i7 11è Gén / 24 Go / GTX 1650 4G,https://www.tunisianet.com.tn/pc-portable-tunisie/61255-pc-portable-msi-gaming-gf63-thin-11sc-i7-11e-gen-24-go-gtx-1650-4g.html,https://www.tunisianet.com.tn/284157-home/pc-portable-msi-gaming-gf63-thin-11sc-i7-11e-gen-24-go-gtx-1650-4g.jpg,"Ecran 15.6"" Full HD - Processeur Intel Core i7-11800H, up to 4.6 Ghz, 24 Mo de mémoire cache - Mémoire 24 Go - Disque 512 Go SSD - Carte graphique Nvidia GeForce GTX 1650, 4 Go de mémoire dédiée - Clavier rétroéclairé Rouge - Wifi 6 - Bluetooth 5.2 - USB 3.2 Type-C - USB 3.2 - HDMI - RJ45 - Webcam HD - Windows 10 - Garantie 2 ans",GF63THIN-028F-24,"3 315,000 DT",En stock,,,
Pc portable HP Victus 15-fa0014nk / i5-12500H / 24 Go / RTX 3050 Ti 4G,https://www.tunisianet.com.tn/pc-portable-tunisie/58591-pc-portable-hp-victus-15-fa0014nk-i5-12500h-24-go-rtx-3050-ti-4g.html,https://www.tunisianet.com.tn/266416-home/pc-portable-hp-victus-15-fa0014nk-i5-12500h-24-go-rtx-3050-ti-4g.jpg,"Écran 15.6 "" Full HD IPS- Processeur Intel Core i5- 12500H , 12ème Génération, up to 4.5 Ghz, 18 Mo de mémoire cache - Mémoire 24 Go - Disque 512 Go SSD M.2 - Carte graphique Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire dédiée - Wifi 6 - Bluetooth 5.2 - Clavier rétroéclairé - SuperSpeed USB Type-C - SuperSpeed USB Type-A - HDMI 2.1 - RJ45 - Lecteur de cartes - Caméra HP Wide Vision HD 720p - Windows 11 - Garantie 1 an",6U8V1EA-24,"3 319,000 DT",En stock,,,
Pc portable HP Victus 15-fb0014nk / Ryzen 7 5800H / 16 Go / RTX 3050 Ti 4G + Casque Gaming Hyperx Offert OU Souris Gaming Hyperx Offerte,https://www.tunisianet.com.tn/pc-portable-tunisie/59865-pc-portable-hp-victus-15-fb0014nk-ryzen-7-5800h-16-go-rtx-3050-ti-4g.html,https://www.tunisianet.com.tn/284649-home/pc-portable-hp-victus-15-fb0014nk-ryzen-7-5800h-16-go-rtx-3050-ti-4g.jpg,"Écran 15.6 "" Full HD IPS - Processeur AMD Ryzen 7 5800H , up to 4.4 Ghz, 16 Mo de mémoire cache - Mémoire 16 Go - Disque 512 Go SSD M.2 - Carte graphique Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire dédiée - Wifi 6 - Bluetooth 5.2 - Clavier rétroéclairé - SuperSpeed USB Type-C - SuperSpeed USB Type-A - HDMI 2.1 - RJ45 - Lecteur de cartes - Webcam HD 720p - Windows 11 - Garantie 1 an + Casque Gaming Hyperx Offert OU Souris Gaming Hyperx Offerte",6U8V7EA-16,"3 319,000 DT",En stock,,,
Pc Portable Dell Latitude 5530 / i5 12è Gén / 24 Go / 256 Go SSD,https://www.tunisianet.com.tn/pc-portable-tunisie/59573-pc-portable-dell-latitude-5530-i5-12e-gen-24-go-256-go-ssd.html,https://www.tunisianet.com.tn/273653-home/pc-portable-dell-latitude-5530-i5-12e-gen-24-go-256-go-ssd.jpg,"Ecran 15.6 "" Full HD - Processeur Intel Core i5-1235U , up to 4.4 GHz, 12 Mo de mémoire cache - Mémoire 24 Go - Disque 256 Go SSD - Intel Iris Xe Graphics - 2 x USB 3.2 type C - 2x USB 3.2 type A - RJ45 - HDMI - Webcam HD - Lecteur de cartes SD - Wifi 6e - Bluetooth 5.2 - Garantie 3 ans",5530I5-3Y-24,"3 324,000 DT",En stock,,,
PC Portable HP Victus 15-fa0016nk / i5-12500H / 32 Go / RTX 3050 4G,https://www.tunisianet.com.tn/pc-portable-tunisie/59858-pc-portable-hp-victus-15-fa0016nk-i5-12500h-32-go-rtx-3050-4g.html,https://www.tunisianet.com.tn/275577-home/pc-portable-hp-victus-15-fa0016nk-i5-12500h-32-go-rtx-3050-4g.jpg,"Écran 15.6 "" Full HD IPS- Processeur Intel Core i5- 12500H , 12ème Génération, up to 4.5 Ghz, 18 Mo de mémoire cache - Mémoire 32 Go - Disque 512 Go SSD M.2 - Carte graphique Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée - Wifi 6 - Bluetooth 5.2 - Clavier rétroéclairé - SuperSpeed USB Type-C - SuperSpeed USB Type-A - HDMI 2.1 - RJ45 - Lecteur de cartes - Caméra HP Wide Vision HD 720p - Windows 11 - Garantie 1 an",6U8V3EA-32,"3 325,000 DT",En stock,,,
PC Portable HP Pavilion x360 Convertible 14-dy0011nk Tactile / i7 11è Gén / 16 Go / 512 Go SSD / WIN11 / Silver,https://www.tunisianet.com.tn/pc-portable-tunisie/55766-pc-portable-hp-pavilion-x360-convertible-14-dy0011nk-tactile-i7-11e-gen-16-go-512-go-ssd-win11-silver.html,https://www.tunisianet.com.tn/245046-home/pc-portable-hp-pavilion-x360-convertible-14-dy0011nk-tactile-i7-11e-gen-16-go-512-go-ssd-win11-silver.jpg,"Ecran 14"" IPS Full HD Tactile (1920 x 1080 px) IPS - Processeur Intel Core i7-1165G7, 11è Génération, up to 4.7, 12 Mo de mémoire cache - Mémoire 16 Go - Disque 512 Go SSD - Carte Graphique Intel Iris Xe - 2x USB SuperSpeed - USB-C SuperSpeed - HDMI 2.0 - DisplayPort - Lecteur de Cartes microSD - Bluetooth - Webcam HD - Windows 10 - Poids 1.5 kg - Clavier rétroéclairé - Couleur Silver - Garantie 1 an",601C1EA-16,"3 330,000 DT",En stock,,,
Pc portable HP Victus 16-d1019nk / i5-12500H / 24 Go / RTX 3050 4G  + Casque Gaming Hyperx Offert OU Souris Gaming Hyperx Offerte,https://www.tunisianet.com.tn/pc-portable-tunisie/61155-pc-portable-hp-victus-16-d1019nk-i5-12500h-24-go-rtx-3050-4g.html,https://www.tunisianet.com.tn/283885-home/pc-portable-hp-victus-16-d1019nk-i5-12500h-24-go-rtx-3050-4g.jpg,"Écran 16.1"" Full HD IPS - Processeur Intel Core i5- 12500H , 12ème Génération, up to 4.5 Ghz, 18 Mo de mémoire cache - Mémoire 24 Go - Disque 512 Go SSD M.2 - Carte graphique Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée - Wifi 6 - Bluetooth 5.2 - Clavier rétroéclairé - SuperSpeed USB Type-C - SuperSpeed USB Type-A - HDMI 2.1 - RJ45 - Lecteur de cartes - Caméra HP Wide Vision HD 720p - Windows 11 - Couleur Bleu - Garantie 1 an + Casque Gaming Hyperx Offert OU Souris Gaming Hyperx Offerte",6U8X3EA-24,"3 334,000 DT",En stock,,,
Pc portable Dell Gaming G15 5510 / i7 10è Gén / 32 Go / RTX 3050 4G,https://www.tunisianet.com.tn/pc-portable-tunisie/53817-pc-portable-dell-gaming-g15-5510-i7-10e-gen-32-go-rtx-3050-4g.html,https://www.tunisianet.com.tn/231616-home/pc-portable-dell-gaming-g15-5510-i7-10e-gen-32-go-rtx-3050-4g.jpg,"Ecran 15.6"" FHD 120Hz - Processeur Intel Core i7-10870H, up to 5 Ghz, 16 Mo de mémoire cache - Mémoire 32 Go - Disque 512 Go SSD - Carte graphique Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée - Clavier rétroéclairé - Wifi 6 - Bluetooth - RJ45 - 3x USB 3.2 - HDMI - Port casque/micro - Webcam HD - Couleur Noir - Garantie 1 an",5510G15-I7-32,"3 345,000 DT",En stock,,,
PC Portable HP Pavilion Gaming 17-CD2007NK / i5 11è Gén / 24 Go / RTX 3050Ti 4G,https://www.tunisianet.com.tn/pc-portable-tunisie/55710-pc-portable-hp-pavilion-gaming-17-cd2007nk-i5-11e-gen-24-go-rtx-3050ti-4g.html,https://www.tunisianet.com.tn/278382-home/pc-portable-hp-pavilion-gaming-17-cd2007nk-i5-11e-gen-24-go-rtx-3050ti-4g.jpg,"Écran 17.3"" Full HD IPS - Processeur Intel Core i5- 11300H , up to 4.4 Ghz, 8 Mo de cache - Mémoire 24 Go - Disque SSD 1 To NVMe - Carte graphique Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire GDDR6 dédiée - Clavier rétroéclairé - Lecteur Carte SD - Wifi 6 - Bluetooth 5.2 - SuperSpeed USB Type-C - SuperSpeed USB Type-A - HDMI 2.0 - RJ45 - Webcam HD - Windows 11 - Garantie 1 an",612C9EA-24,"3 347,000 DT",En stock,,,
PC Portable Gamer ASUS TUF Dash F15 FX517ZC / i7-12650H / RTX 3050 4G / 16 Go / Win 11,https://www.tunisianet.com.tn/pc-portable-tunisie/61097-pc-portable-gamer-asus-tuf-dash-f15-fx517zc-i7-12650h-rtx-3050-4g-16-go-win-11.html,https://www.tunisianet.com.tn/283269-home/pc-portable-gamer-asus-tuf-dash-f15-fx517zc-i7-12650h-rtx-3050-4g-16-go-win-11.jpg,"Ecran 15.6"" IPS Full HD 144Hz - Processeur intel Core i7-12650H, up to 4.7 Ghz, 24 Mo de mémoire cache - Mémoire 16 Go - Disque 512 Go SSD M.2 NVMe- Carte graphique Nvidia GeForce RTX 3050, 4 Go de mémoire Dédiée - Clavier rétroéclairé - Ethernet - Wifi 6 - Bluetooth 5.2 - Clavier rétroéclairé - 1x USB 3.2 Type C - 2x USB 3.2 - HDMI - Webcam avec Micro - Switch MUX intégré, pour passer à un mode GPU Direct vers l'affichage et réduire la latence - Windows 11 - Garantie 2 ans",FX517ZC-HN063W-2Y,"3 359,000 DT",En stock,,,
PC Portable HP Pavilion x360 Convertible 14-dy0011nk Tactile / i7 11è Gén / 20 Go / 512 Go SSD / WIN11 / Silver,https://www.tunisianet.com.tn/pc-portable-tunisie/55767-pc-portable-hp-pavilion-x360-convertible-14-dy0011nk-tactile-i7-11e-gen-20-go-512-go-ssd-win11-silver.html,https://www.tunisianet.com.tn/245054-home/pc-portable-hp-pavilion-x360-convertible-14-dy0011nk-tactile-i7-11e-gen-20-go-512-go-ssd-win11-silver.jpg,"Ecran 14"" IPS Full HD Tactile (1920 x 1080 px) IPS - Processeur Intel Core i7-1165G7, 11è Génération, up to 4.7, 12 Mo de mémoire cache - Mémoire 20 Go - Disque 512 Go SSD - Carte Graphique Intel Iris Xe - 2x USB SuperSpeed - USB-C SuperSpeed - HDMI 2.0 - DisplayPort - Lecteur de Cartes microSD - Bluetooth - Webcam HD - Windows 10 - Poids 1.5 kg - Clavier rétroéclairé - Couleur Silver - Garantie 1 an",601C1EA-20,"3 359,000 DT",En stock,,,
