name,link,image,description,reference,price_tunisianet,availability_tunisianet,price_mytek,availability_mytek
PC Portable LENOVO IdeaPad 3 15IML05 i3 10è Gén 12G 1To - Noir,https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15iml05-i3-10e-gen-12g-1to-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/8/1/81wb00xufg-12g--10.jpg,"Écran 15.6"" FULL HD - Processeur: Intel Core i3-10110U (2,10 GHz up to 4,10 GHz, 4 Mo de mémoire cache, Dual-Core ) - Système d'exploitation: Windows 10 Famille - Mémoire RAM: 12 Go DDR4-2666 - Disque Dur: 1 To - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm) et lecteur de carte - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",81WB00XUFG-12G,,,"1 079,000 DT",En stock
PC Portable LENOVO IdeaPad 3 15IML05 i3 10è Gén 12Go 1To - Noir,https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15iml05-i3-10e-gen-12go-1to-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/b/u/bu-81wb00xufg-12g-80.jpg,"Écran 15.6"" FULL HD - Processeur: Intel Core i3-10110U (2,10 GHz up to 4,10 GHz, 4 Mo de mémoire cache, Dual-Core ) - Système d'exploitation: Windows 10 Famille - Mémoire RAM: 12 Go DDR4-2666 - Disque Dur: 1 To - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm) et lecteur de carte - Couleur: Noir - Garantie: 1 an + AntiVirus BITDEFENDER Internet Security Retrait en Magasin ou Livraison Gratuite pour Cet Article",BU-81WB00XUFG-12G,,,"1 079,000 DT",En stock
Pc Portable DELL Vostro 3400 i3 11è Gén 8Go 1To + 256Go SSD - Noir,https://www.mytek.tn/pc-portable-dell-vostro-3400-i3-11e-gen-8go-1to-256go-ssd-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/n/6/n6004vn3400emea01-8g-256s.jpg,"Écran 14"" HD - Processeur: Intel Core i3-1115G4 ( 3.00 GHz up to 4,10 GHz Turbo max , 6 Mo de mémoire cache, Dual-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go - Disque dur: 1 To + 256 Go SSD - Carte graphique: Intel HD Graphics avec WiFi, Bluetooth, 1x USB 2.0 Type-A , 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4,1x RJ-45, 1 prise jack pour casque 3.5 mm - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",N6004VN3400EMEA01-8G-256S,,,"1 079,000 DT",En stock
PC Portable LENOVO IdeaPad 3 15ITL6 i3 11è Gén 8G 256G SSD -Bleu,https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15itl6-i3-11e-gen-8g-256g-ssd-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/8/2/82h802csfg-8g.jpg,"Écran 15.6"" FULL HD - Processeur: Intel Core i3-1115G4 (Up to 4,10 GHz, 6 Mo de mémoire cache, Dual-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4-3200 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Bleu - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",82H802CSFG-8G,,,"1 085,000 DT",En stock
PC Portable ASUS X415FA i3 10è Gén 12Go 1To - Silver,https://www.mytek.tn/pc-portable-asus-x415fa-i3-10e-gen-12go-1to-silver.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/x/4/x415fa-ek075w-12g.jpg,"Écran 14"" Full HD - Processeur: Intel Core i3-10110U ( 2.10 GHz up to 4.10 GHz Turbo max , 4Mo Mémoire cache, Dual-Core ) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 12 Go - Disque Dur: 1 To HDD - Carte Graphique: Intel HD Graphics avec Wifi, Bluetooth, 1x USB Type-C 3.2 Gen 1, 1x USB Type-A 3.2 Gen 1, 2x USB Type-A 2.0, 1x HDMI 1.4, Lecteur de carte Micro SD - Clavier Chiclet avec pavé numérique - Couleur: Silver - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",X415FA-EK075W-12G,,,"1 089,000 DT",En stock
PC Portable ASUS X415FA i3 10è Gén 12Go 1To - Silver,https://www.mytek.tn/pc-portable-asus-x415fa-i3-10e-gen-12g-1to-silver.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/b/u/bu-x415fa-ek075w-12g.jpg,"Écran 14"" Full HD - Processeur: Intel Core i3-10110U ( 2.10 GHz up to 4.10 GHz Turbo max , 4Mo Mémoire cache, Dual-Core ) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 12 Go - Disque Dur: 1 To HDD - Carte Graphique: Intel HD Graphics avec Wifi, Bluetooth, 1x USB Type-C 3.2 Gen 1, 1x USB Type-A 3.2 Gen 1, 2x USB Type-A 2.0, 1x HDMI 1.4, Lecteur de carte Micro SD - Clavier Chiclet avec pavé numérique - Couleur: Silver - Garantie: 1 an + Sacoche & Souris Sans Fil Retrait en Magasin ou Livraison Gratuite pour Cet Article",BU-X415FA-EK075W-12G,,,"1 089,000 DT",En stock
PC Portable LENOVO IdeaPad 3 15ITL6 i3 11è Gén 8G 256Go SSD -Gris,https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15itl6-i3-11e-gen-8g-256go-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/8/2/82h802cqfg-8g.jpg,"Écran 15.6"" FULL HD - Processeur: Intel Core i3-1115G4 (Up to 4,10 GHz, 6 Mo de mémoire cache, Dual-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4-3200 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1 port USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Gris - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",82H802CQFG-8G,,,"1 099,000 DT",Epuisé
PC Portable LENOVO IdeaPad 3 15ITL6 i3 11è Gén 8Go 1To - Bleu,https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15itl6-i3-11e-gen-8go-1to-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/8/2/82h8020qfg-8g.jpg,"Écran 15.6"" FULL HD - Processeur: Intel Core i3-1115G4 ( 3.00 GHz Up to 4,10 GHz Turbo max , 6 Mo de mémoire cache, Dual-Core ) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 8 Go DDR4-3200 - Disque Dur: 1 To HDD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm) et lecteur de carte - Couleur: Bleu - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",82H8020QFG-8G,,,"1 099,000 DT",En stock
PC Portable LENOVO IdeaPad 3 15ITL6 i3 11è Gén 8Go 1To - Gris,https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15itl6-i3-11e-gen-8go-1to-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/8/2/82h8020pfg-8g.jpg,"Écran 15.6"" FULL HD - Processeur: Intel Core i3-1115G4 (3.00 GHz Up to 4,10 GHz, 6 Mo de mémoire cache, Dual-Core ) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 8 Go DDR4-3200 - Disque Dur: 1To HDD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm) et lecteur de carte - Couleur: Gris - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",82H8020PFG-8G,,,"1 099,000 DT",En stock
PC Portable LENOVO IdeaPad 3 15ITL6 i3 11è Gén 8Go 1To - Sable,https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15itl6-i3-11e-gen-8go-1to-sable.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/8/2/82h8020sfg-8g.jpg,"Écran 15.6"" FULL HD - Processeur: Intel Core i3-1115G4 ( 3.00 GHz Up to 4,10 GHz Turbo max , 6 Mo de mémoire cache, Dual-Core ) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 8 Go DDR4-3200 - Disque Dur: 1 To HDD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm) et lecteur de carte - Couleur: Sable - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",82H8020SFG-8G,,,"1 099,000 DT",En stock
